nome_associado,sobrenome_associado,idade_associado,vlr_transacao_movimento,des_transacao_movimento,data_movimento,numero_cartao,nome_impresso_cartao,data_criacao_cartao,tipo_conta,data_criacao_conta
Jaqueline ,Correa,55,2800.32,Emprestimo Pessoal,2019-12-01 22:00:01,11111111,JAQUELINE CORREA,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Jaqueline ,Correa,55,850.88,Compra Loja,2019-12-01 23:00:01,22222222,JAQUELINE CORREA,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Fernanda ,Lima de Oliveira,48,1550.00,Emprestimo Pessoal,2021-05-01 09:30:01,3333333,FERNANDA L OLIVEIRA,2018-12-01 00:00:01,Individual,2018-12-01 00:00:01
Fernanda ,Lima de Oliveira,48,2800.32,Compra Passagem Aerea,2019-12-01 22:00:01,3333333,FERNANDA L OLIVEIRA,2018-12-01 00:00:01,Individual,2018-12-01 00:00:01
Jaqueline ,Correa,55,12800.00,Emprestimo Pessoal,2019-05-01 22:00:01,22222222,JAQUELINE CORREA,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Anderson ,Vieira de Barros,43,980.88,Compra Loja Eletronico,2019-12-01 23:00:01,21212118,ANDERSON V BARROS,2016-01-28 00:00:01,Solidária,2016-01-28 00:00:01
Anderson ,Vieira de Barros,43,1550.00,Compra Mercado Livre,2021-05-01 09:30:01,21212118,ANDERSON V BARROS,2016-01-28 00:00:01,Solidária,2016-01-28 00:00:01
Anderson ,Vieira de Barros,43,300.00,Compra Mercado,2019-12-01 22:00:01,21212121,ANDERSON V BARROS,2016-01-28 00:00:01,Solidária,2016-01-28 00:00:01
Anderson ,Vieira de Barros,43,2000.00,Emprestimo Pessoal,2019-05-24 22:00:01,21212121,ANDERSON V BARROS,2016-01-28 00:00:01,Solidária,2016-01-28 00:00:01
Anderson ,Vieira de Barros,43,480.88,Compra Veterinaria,2019-12-01 23:00:01,77777777,ANDERSON V BARROS,2016-01-28 00:00:01,Solidária,2016-01-28 00:00:01
Michelle ,Fonseca de Barros,34,12000.00,Emprestimo Pessoal,2019-05-24 22:00:01,37388558,MICHELLE F BARROS,2016-08-28 00:00:01,Conjunta,2016-08-28 00:00:01
Michelle ,Fonseca de Barros,34,1980.81,Compra Supermercado,2019-12-01 23:00:01,17117171,MICHELLE F BARROS,2021-10-01 00:00:01,Individual,2021-10-01 00:00:01
Susana ,Souza Cruz,22,1300.00,Compra Autopecas,2021-12-12 13:00:01,21212121,SUSANA SOUZA CRUZ,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Susana ,Souza Cruz,22,483.25,Compra Supermercado,2019-12-12 21:00:01,21212121,SUSANA SOUZA CRUZ,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Susana ,Souza Cruz,22,2550.81,Compra Passagem Aerea,2022-04-01 23:00:01,21212121,SUSANA SOUZA CRUZ,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Susana ,Souza Cruz,22,343.81,Compra Posto Combustivel,2021-05-12 23:00:01,21212121,SUSANA SOUZA CRUZ,2019-01-28 00:00:01,Conjunta,2019-01-28 00:00:01
Humberto ,Almeida Cruz,55,128.88,Compra Posto Combustivel,2021-05-19 12:35:22,47455888,HUMBERTO A S CRUZ,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
Humberto ,Almeida Cruz,55,345.00,Compra Resturante,2021-05-19 23:00:01,47455888,HUMBERTO A S CRUZ,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
Humberto ,Almeida Cruz,55,208.91,Compra Loja Esportiva,2021-05-20 23:00:01,47455888,HUMBERTO A S CRUZ,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
Andre ,La Pasta de Souza,48,1208.91,Compra Material Informática,2022-04-12 14:00:01,48566888,ANDRE LA PASTA,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
Carlos Alberto ,Solano,43,3208.91,Compra Televisão,2022-04-08 19:00:01,36388558,CARLOS ALBERTO SOLANO,2022-01-18 00:00:01,Individual,2022-01-18 00:00:01
Carlos Alberto ,Solano,43,208.91,Compra Resturante,2022-04-19 22:00:01,36388558,CARLOS ALBERTO SOLANO,2022-01-18 00:00:01,Individual,2022-01-18 00:00:01
Carlos Alberto ,Solano,43,889.91,Compra Hotel,2022-01-20 12:00:01,36388558,CARLOS ALBERTO SOLANO,2022-01-18 00:00:01,Individual,2022-01-18 00:00:01
Rafael ,Fazio,47,1800.00,Compra Hotel,2021-12-31 12:00:01,55466533,RAFAEL FAZIO,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
Rafael ,Fazio,47,350.91,Compra Rest,2022-01-01 12:00:01,55466533,RAFAEL FAZIO,2022-01-18 00:00:01,Conjunta,2022-01-18 00:00:01
